N_SOIL,P_SOIL,K_SOIL,TEMPERATURE,HUMIDITY,ph,RAINFALL,STATE,CROP_PRICE,CROP,TEMPERATURE 
90,42.0,43,20.87974371,82.00274423,,202.9355362,Andaman and Nicobar,7000.0,Rice,
85,58.0,41,21.77046169,80.31964408,,226.6555374,Andaman and Nicobar,5000.0,Rice,
60,55.0,44,23.00445915,82.3207629,,263.9642476,Andaman and Nicobar,7000.0,Rice,
74,35.0,40,26.49109635,80.15836264,,242.8640342,Andaman and Nicobar,7000.0,Rice,
78,42.0,42,20.13017482,81.60487287,,262.7173405,Andaman and Nicobar,120000.0,Rice,
69,37.0,42,23.05804872,83.37011772,,251.0549998,Andaman and Nicobar,3500.0,Rice,
69,55.0,38,22.70883798,82.63941394,,271.3248604,Andaman and Nicobar,7500.0,Rice,
94,53.0,40,20.27774362,82.89408619,,241.9741949,Andaman and Nicobar,6500.0,Rice,
89,54.0,38,24.51588066,83.5352163,,230.4462359,Andaman and Nicobar,10000.0,Rice,
68,58.0,38,23.22397386,83.03322691,,221.2091958,Andaman and Nicobar,11000.0,Rice,
91,53.0,40,26.52723513,81.41753846,,264.6148697,Andaman and Nicobar,9000.0,Rice,
90,46.0,42,23.97898217,81.45061596,,250.0832336,Andaman and Nicobar,5600.0,Rice,
78,58.0,44,26.80079604,80.88684822,,284.4364567,Andaman and Nicobar,6000.0,Rice,
93,56.0,36,24.01497622,82.05687182,,185.2773389,Andaman and Nicobar,3000.0,Rice,
94,50.0,37,25.66585205,80.66385045,,209.5869708,Andaman and Nicobar,3000.0,Rice,
60,48.0,39,24.28209415,80.30025587,,231.0863347,Andhra Pradesh,620.0,Rice,
85,38.0,41,21.58711777,82.7883708,,276.6552459,Andhra Pradesh,300.0,Rice,
91,35.0,39,23.79391957,80.41817957,,206.2611855,Andhra Pradesh,760.0,Rice,
77,38.0,36,21.8652524,80.1923008,,224.5550169,Andhra Pradesh,4600.0,Rice,
88,35.0,40,23.57943626,83.58760316,,291.2986618,Andhra Pradesh,1900.0,Rice,
89,45.0,36,21.32504158,80.47476396,,185.4974732,Andhra Pradesh,1950.0,Rice,
76,40.0,43,25.15745531,83.11713476,5.070175667,231.3843163,Andhra Pradesh,1760.0,Rice,
67,59.0,41,21.94766735,80.97384195,,213.3560921,Assam,7000.0,Rice,
83,41.0,43,21.0525355,82.67839517,,233.1075816,Assam,2400.0,Rice,
98,47.0,37,23.48381344,81.33265073,,224.0581164,Assam,2800.0,Rice,
66,53.0,41,25.0756354,80.52389148,,257.0038865,Assam,6400.0,Rice,
97,59.0,43,26.35927159,84.04403589,,271.3586137,Assam,850.0,Rice,
97,50.0,41,24.52922681,80.54498576,,260.2634026,Assam,850.0,Rice,
60,49.0,44,20.77576147,84.49774397,,240.0810647,Assam,350.0,Rice,
84,,35,,80.64416466,,,Assam,,Rice,
73,57.0,41,21.44653958,84.94375962,,272.2017204,Assam,1450.0,Rice,
92,35.0,40,22.17931888,80.33127223,,200.0882787,Assam,4100.0,Rice,
85,37.0,39,24.52783742,82.73685569,,224.6757231,Assam,1550.0,Rice,
98,53.0,38,20.26707606,81.63895217,,270.4417274,Assam,2900.0,Rice,
88,54.0,44,25.7354293,83.88266234,6.149410611,233.1321372,Assam,2250.0,Rice,
95,55.0,42,26.79533926,82.1480873,,193.3473987,Assam,3600.0,Rice,
99,57.0,35,26.75754171,81.17734011,,272.2999056,Assam,950.0,Rice,
95,39.0,36,23.86330467,83.15250801,,285.2493645,Assam,650.0,Rice,
60,43.0,44,21.01944696,82.95221726,,298.4018471,Assam,650.0,Rice,
63,44.0,41,24.17298839,83.7287574,,257.0343554,Assam,850.0,Rice,
62,42.0,36,22.78133816,82.06719137,,248.7183228,Assam,1150.0,Rice,
64,45.0,43,25.62980105,83.52842314,,209.9001977,Assam,4400.0,Rice,
83,60.0,36,25.59704938,80.14509262,,200.834898,Assam,6400.0,Rice,
82,40.0,40,23.83067496,84.81360127,,298.5601175,Assam,2800.0,Rice,
85,,45,,82.36698992,,,Assam,,Rice,
91,35.0,38,24.8972823,80.52586088,,183.6793207,Assam,2400.0,Rice,
76,49.0,42,24.958779,84.47963372,,196.9560008,Assam,4500.0,Rice,
74,39.0,38,23.24113501,84.59201843,,233.0453455,Assam,2500.0,Rice,
79,43.0,39,21.66628296,80.70960551,,210.8142087,Assam,2300.0,Rice,
88,55.0,45,24.63544858,80.41363018,,253.7202781,Assam,5000.0,Rice,
60,36.0,43,23.43121862,83.06310136,,219.9048349,Assam,6600.0,Rice,
76,60.0,39,20.0454142,80.3477562,,208.5810155,Assam,6200.0,Rice,
93,56.0,42,23.85724032,82.22572988,,195.0948311,Assam,1200.0,Rice,
65,60.0,43,21.97199397,81.89918197,,227.3637009,Assam,550.0,Rice,
95,52.0,36,26.22916897,83.83625819,,286.5083725,Assam,3200.0,Rice,
75,38.0,39,23.44676801,84.79352417,,283.9338466,Assam,2800.0,Rice,
74,,38,,83.47021081,,,Assam,,Rice,
91,36.0,45,24.44345477,82.45432595,,267.9761948,Assam,1300.0,Rice,
71,46.0,40,20.2801937,82.1235421,,191.9535738,Assam,500.0,Rice,
99,55.0,35,21.7238313,80.2389895,,277.9626192,Assam,1000.0,Rice,
72,40.0,38,20.41447029,82.20802629,,245.1511304,Assam,1900.0,Rice,
83,58.0,45,25.75528612,83.51827127,,245.6626799,Assam,2000.0,Rice,
93,58.0,38,20.61521424,83.77345559,,279.5451717,Assam,4500.0,Rice,
70,36.0,42,21.84106875,80.72886384,,202.3838319,Assam,1600.0,Rice,
76,47.0,42,20.08369642,83.29114712,5.739175027,263.6372176,Assam,1100.0,Rice,
99,41.0,36,24.45802087,82.74835604,,182.5616319,Assam,700.0,Rice,
99,54.0,37,21.14347496,80.33502926,,198.6730942,Assam,900.0,Rice,
86,59.0,35,25.78720567,82.11124033,,243.5120414,Assam,1100.0,Rice,
69,46.0,41,23.64124821,80.28597873,,263.1103304,Assam,4100.0,Rice,
91,56.0,37,23.43191632,80.56887849,,269.5039162,Assam,1450.0,Rice,
61,52.0,41,24.97669518,83.891805,,204.8001847,Assam,2200.0,Rice,
67,45.0,38,22.72791041,82.1706881,,260.8875056,Assam,5850.0,Rice,
79,42.0,37,24.87300744,82.84022551,,295.6094492,Assam,750.0,Rice,
78,43.0,42,21.32376327,83.00320459,,192.3197536,Assam,700.0,Rice,
75,54.0,36,26.29465461,84.56919326,,257.4914906,Assam,2000.0,Rice,
97,36.0,45,22.2286982,81.85872947,,278.0791793,Assam,3900.0,Rice,
67,47.0,44,26.73072391,81.78596776,,280.4044392,Assam,1800.0,Rice,
73,35.0,38,24.88921174,81.97927117,,185.9461429,Assam,4100.0,Rice,
77,36.0,37,26.88444878,81.46033732,,194.5766559,Assam,2400.0,Rice,
81,41.0,38,22.67846116,83.72874389,,200.9133156,Assam,2800.0,Rice,
68,57.0,43,26.08867875,80.37979919,,182.9043504,Chattisgarh,4200.0,Rice,
72,45.0,35,25.42977518,82.94682591,,195.3574542,Chattisgarh,1500.0,Rice,
61,53.0,43,26.40323239,81.05635517,,223.3671883,Chattisgarh,1500.0,Rice,
67,43.0,39,26.04371967,84.96907151,,186.7536773,Chattisgarh,1500.0,Rice,
67,58.0,39,25.2827223,80.54372813,,220.1156708,Chattisgarh,4900.0,Rice,
66,60.0,38,22.08576562,83.47038318,,231.7364957,Goa,19500.0,Rice,
82,43.0,38,23.28617173,81.43321641,,242.3170629,Goa,22250.0,Rice,
84,50.0,44,25.48591986,81.40633547,,182.6549356,Goa,20500.0,Rice,
81,53.0,42,23.67575393,81.03569343,,233.7034975,Gujarat,1550.0,Rice,
91,50.0,40,20.82477109,84.1341879,,230.2242223,Gujarat,1100.0,Rice,
93,53.0,38,26.92995077,81.91411159,,290.6793783,Gujarat,1300.0,Rice,
90,44.0,38,23.83509503,83.88387074,,241.2013513,Gujarat,1600.0,Rice,
81,45.0,35,26.52872817,80.12267476,,218.9163567,Gujarat,1300.0,Rice,
78,40.0,38,26.46428311,83.85642678,,248.2256491,Gujarat,2080.0,Rice,
60,51.0,36,22.69657794,82.81088865,,256.9964761,Gujarat,2015.0,Rice,
88,46.0,42,22.68319059,83.46358271,6.604993475,194.2651719,Gujarat,4870.0,Rice,
93,47.0,37,21.53346343,82.14004101,,295.9248796,Gujarat,3425.0,Rice,
60,55.0,45,21.40865769,83.3293191,,287.5766935,Gujarat,1850.0,Rice,
78,35.0,44,26.54348085,84.67353597,,183.6222657,Gujarat,650.0,Rice,
65,37.0,40,23.35905428,83.59512273,,188.413665,Gujarat,925.0,Rice,
71,,16,,63.69070564,,,Gujarat,,Maize,
61,44.0,17,26.10018422,71.57476937,,102.2662445,Gujarat,825.0,Maize,
80,43.0,16,23.55882094,71.59351368,,66.71995467,Gujarat,1100.0,Maize,
73,58.0,21,19.97215954,57.68272924,,60.65171481,Gujarat,825.0,Maize,
61,38.0,20,18.47891261,62.69503871,,65.43835393,Gujarat,3425.0,Maize,
68,41.0,16,21.77689322,57.80840636,,102.0861694,Gujarat,2175.0,Maize,
93,41.0,17,25.6217169,66.50415474,,105.4654703,Gujarat,3475.0,Maize,
89,60.0,19,25.19192419,66.6902901,,78.06639649,Gujarat,2825.0,Maize,
76,44.0,17,20.41683147,62.5542482,,65.27798457,Gujarat,6100.0,Maize,
